Date,Close
2019-08-15,295.76001
2019-08-16,302.799988
2019-08-19,309.380005
2019-08-20,298.98999
2019-08-21,297.809998
2019-08-22,296.929993
2019-08-23,291.440002
2019-08-26,294.980011
2019-08-27,291.029999
2019-08-28,291.769989
2019-08-29,296.779999
2019-08-30,293.75
2019-09-03,289.290009
2019-09-04,291.519989
2019-09-05,293.25
2019-09-06,290.170013
2019-09-09,294.339996
2019-09-10,287.98999
2019-09-11,288.269989
2019-09-12,288.859985
2019-09-13,294.149994
2019-09-16,294.290009
2019-09-17,298.600006
2019-09-18,291.559998
2019-09-19,286.600006
2019-09-20,270.75
2019-09-23,265.920013
2019-09-24,254.589996
2019-09-25,264.75
2019-09-26,263.309998
2019-09-27,263.079987
2019-09-30,267.619995
2019-10-01,269.579987
2019-10-02,268.029999
2019-10-03,268.149994
2019-10-04,272.790009
2019-10-07,274.459991
2019-10-08,270.720001
2019-10-09,267.529999
2019-10-10,280.480011
2019-10-11,282.929993
2019-10-14,285.529999
2019-10-15,284.25
2019-10-16,286.279999
2019-10-17,293.350006
2019-10-18,275.299988
2019-10-21,278.049988
2019-10-22,266.690002
2019-10-23,271.269989
2019-10-24,271.5
2019-10-25,276.820007
2019-10-28,281.859985
2019-10-29,281.209991
2019-10-30,291.450012
2019-10-31,287.410004
2019-11-01,286.809998
2019-11-04,292.859985
2019-11-05,288.029999
2019-11-06,288.589996
2019-11-07,289.570007
2019-11-08,291.570007
2019-11-11,294.179993
2019-11-12,292.01001
2019-11-13,283.109985
2019-11-14,289.619995
2019-11-15,295.029999
2019-11-18,302.570007
2019-11-19,302.600006
2019-11-20,305.160004
2019-11-21,311.690002
2019-11-22,310.480011
2019-11-25,315.549988
2019-11-26,312.48999
2019-11-27,315.929993
2019-11-29,314.660004
2019-12-02,309.98999
2019-12-03,306.160004
2019-12-04,304.320007
2019-12-05,302.859985
2019-12-06,307.350006
2019-12-09,302.5
2019-12-10,293.119995
2019-12-11,298.929993
2019-12-12,298.440002
2019-12-13,298.5
2019-12-16,304.209991
2019-12-17,315.480011
2019-12-18,320.799988
2019-12-19,332.220001
2019-12-20,336.899994
2019-12-23,333.100006
2019-12-24,333.200012
2019-12-26,332.630005
2019-12-27,329.089996
2019-12-30,323.309998
2019-12-31,323.570007
2020-01-02,329.809998
2020-01-03,325.899994
2020-01-06,335.829987
2020-01-07,330.75
2020-01-08,339.26001
2020-01-09,335.660004
2020-01-10,329.049988
2020-01-13,338.920013
2020-01-14,338.690002
2020-01-15,339.070007
2020-01-16,338.619995
2020-01-17,339.670013
2020-01-21,338.109985
2020-01-22,326.0
2020-01-23,349.600006
2020-01-24,353.160004
2020-01-27,342.880005
2020-01-28,348.519989
2020-01-29,343.160004
2020-01-30,347.73999
2020-01-31,345.089996
2020-02-03,358.0
2020-02-04,369.01001
2020-02-05,369.670013
2020-02-06,366.950012
2020-02-07,366.769989
2020-02-10,371.070007
2020-02-11,373.690002
2020-02-12,380.01001
2020-02-13,381.399994
2020-02-14,380.399994
2020-02-18,387.779999
2020-02-19,386.190002
2020-02-20,386.0
2020-02-21,380.070007
2020-02-24,368.700012
2020-02-25,360.089996
2020-02-26,379.23999
2020-02-27,371.709991
2020-02-28,369.029999
2020-03-02,381.049988
2020-03-03,368.769989
2020-03-04,383.790009
2020-03-05,372.779999
2020-03-06,368.970001
2020-03-09,346.48999
2020-03-10,364.130005
2020-03-11,349.920013
2020-03-12,315.25
2020-03-13,336.299988
2020-03-16,298.839996
2020-03-17,319.75
2020-03-18,315.470001
2020-03-19,332.029999
2020-03-20,332.829987
2020-03-23,360.269989
2020-03-24,357.320007
2020-03-25,342.390015
2020-03-26,362.98999
2020-03-27,357.119995
2020-03-30,370.959991
2020-03-31,375.5
